TILEID,LASTNIGHT,FIBER,CLUSTER
2931,20221216,4733,0
2931,20221216,4891,0
2931,20221216,4923,0
1591,20220225,4733,0
9920,20220330,3448,0
26069,20221009,4507,0
26069,20221009,4891,0
41630,20230308,4912,0
41630,20230308,4923,0
41882,20220416,4507,0
41882,20220416,4891,0
41882,20220416,4923,0
6738,20220924,2171,0
3420,20221013,4507,0
42055,20220923,4733,0
2451,20231004,466,0
11491,20220403,3448,0
23901,20230529,4738,0
8281,20231021,4891,0
24181,20211118,357,0
7965,20211128,357,0
24072,20221009,4891,0
22951,20211117,4891,0
20152,20231109,4891,0
20126,20230207,2171,0
4016,20221115,4849,0
10222,20240116,4912,0
25081,20240407,3448,0
25875,20220513,651,0
25731,20231120,2171,0
25347,20230206,4912,0
9584,20220427,4891,0
11058,20211110,2171,0
21991,20220513,4507,0
6651,20221214,4738,0
42821,20230206,4738,0
5369,20211204,3448,0
5819,20220325,4912,0
3336,20220509,3448,0
41338,20231101,4733,0
24284,20220120,466,0
10819,20220326,4849,0
42229,20230814,4891,2
11475,20240409,651,0
24165,20230811,4923,0
25745,20210928,4891,0
20755,20240301,466,0
24035,20220505,4733,0
24035,20220505,4923,0
11301,20240213,4923,0
2839,20220330,4507,0
21180,20210521,4507,0
21714,20231002,4891,0
21554,20230104,4891,0
23384,20230319,4733,0
24950,20230525,357,0
25481,20230507,4733,0
25481,20230507,4738,0
24825,20230507,4507,0
21001,20231213,4507,0
21001,20231213,4733,0
24487,20231021,357,0
80692,20210214,4912,0
11768,20211205,4891,0
7031,20221214,4891,0
3836,20231003,4507,0
3836,20231003,4849,0
3836,20231003,4891,0
3836,20231003,4912,0
42427,20240302,4507,-1
42427,20240302,4891,0
42427,20240302,4923,-1
9292,20220321,4923,0
21940,20221206,4738,0
10975,20211104,2171,0
25834,20230108,4923,0
42042,20221104,4912,0
23108,20230209,4891,0
41907,20230529,3448,0
9365,20211009,466,0
41909,20230312,4733,3
41909,20230312,4849,0
10727,20231210,2171,0
24238,20221224,2171,0
41942,20230928,3448,0
24797,20220225,3448,0
500,20210510,4923,0
22854,20221016,4923,0
25425,20230515,4923,0
10359,20220309,4891,0
20416,20210618,651,0
21503,20211026,4507,0
21503,20211026,4891,0
2046,20211109,4891,0
23198,20230502,4733,0
25517,20231211,4507,0
25517,20231211,4733,0
23905,20220611,3448,0
24081,20231205,4733,0
21170,20230310,2171,0
3130,20231207,4891,0
83342,20230428,4507,0
83342,20230428,4923,0
25056,20240227,466,0
42796,20231231,4507,0
11649,20211127,4738,0
24717,20240304,651,0
25643,20220120,4738,0
25643,20220120,4891,0
42531,20230501,4912,0
24387,20221224,4507,0
24387,20221224,4849,0
26220,20211024,4738,0
6871,20220124,2171,0
25444,20230601,4923,0
21558,20220311,4891,0
20901,20210705,4912,0
23813,20221111,4891,0
4417,20220106,357,0
23839,20230108,357,0
9759,20231212,2171,0
22317,20230407,4923,0
80736,20210404,3448,0
2809,20220605,4891,0
2374,20211010,466,0
21703,20220114,4733,0
20604,20221112,4738,0
22337,20220321,3448,0
20671,20230926,4733,0
20671,20230926,4849,0
249,20210413,4912,0
40481,20220612,2171,0
41972,20221226,4738,0
