TARGETID,TILEID,FIBER
39627563009576793,2436,11
39627557045277386,2436,27
616088303401173655,2436,153
616088303401173794,2436,159
616088303401173650,2436,306
616088303401173371,2436,322
616088303401173512,2436,329
39627551097751405,2436,335
39627551097752552,2436,338
39627551097754502,2436,339
616088303401173514,2436,344
616088303401173330,2436,347
39627557053665968,2436,382
39627557053665749,2436,393
39627551093556884,2436,491
39627580915060900,2436,1261
39627586891942490,2436,1564
616088351161713060,2436,1686
39627604856144991,2436,2013
39627604860340936,2436,2380
39627586921303969,2436,4150
39627563026354946,2436,4544
616088315338162716,2436,4704
39627568990653987,2436,4751
39627557057858235,2436,4786
39627563030546926,2436,4840
39627580927643181,2436,4869
