TARGETID,TILEID,FIBER
39627533263570202,10256,186
39627551106138625,10256,773
39627545150229871,10256,823
39627557049470077,10256,1092
616088303396979004,10256,1399
39636359106790862,10256,1492
39627592898183456,10256,2039
39627580940226077,10256,2454
39627580940225691,10256,2473
39627586946467823,10256,3100
39627586938082257,10256,3134
39627592927543670,10256,3269
39627586946468887,10256,3368
39627586946470472,10256,3370
39627574975926053,10256,3406
39627598908625869,10256,3493
39627580965391791,10256,3656
39627580965391526,10256,3800
616088321315046448,10256,3995
39627569015820863,10256,4187
39627557087218415,10256,4447
39627563064099980,10256,4451
39627563064099904,10256,4468
39627539219486125,10256,4601
39627545179589249,10256,4743
39627551127110185,10256,4756
39627563038938428,10256,4889
39627557078827481,10256,4891
39627557074637996,10256,4894
