TARGETID,TILEID,FIBER
616088738119811531,8643,325
39628003734454887,8643,628
39627991776494565,8643,655
39628021614773802,8643,1601
616088779899273433,8643,3438
39628027600047588,8643,3447
39628021660910447,8643,3596
39628033560152289,8643,3831
39628027608436797,8643,3832
39628033560153651,8643,3838
39628027616824715,8643,3843
39628027612631063,8643,3936
39627991801662003,8643,4601
39627997782737448,8643,4644
39627985820582652,8643,4755
39627991801660498,8643,4774
39628003751235483,8643,4784
39627985824779220,8643,4808
39628009715535174,8643,4866
39628015675640996,8643,4869
39628003747040298,8643,4877
39628009715533875,8643,4891
39628015679833904,8643,4896
39627985824776766,8643,4942
