TARGETID,TILEID,FIBER
39633123184478106,334,854
39633127630439580,334,1071
39633132059624172,334,1076
39633140888634133,334,1415
39633140897023975,334,1536
616093897570911137,334,1671
39633140880245905,334,1786
39633145275876584,334,1808
39633145284264104,334,2115
39633149654729369,334,2807
39633166918486234,334,2935
39633149663117652,334,3230
39633166939456779,334,3476
39633149667311668,334,3581
39633154016806104,334,3644
39633136522364520,334,4062
39633132093180519,334,4105
39633136509780133,334,4209
39633140901220318,334,4222
39633136501394683,334,4872
39633136505585971,334,4879
39633136501394276,334,4899
39633123201257149,334,4964
